10000
HE1300+0157 abundances, Frebel et al, 2007ApJ...658..534F, in log epsilon
1

24
C       5.29   0.27
N       4.52  -0.30
O       5.94   0.39
Li      1.06   0.09
Na      2.04   0.10
Mg      4.25   0.14
Al      2.54   0.12
Si      4.50   0.18
Ca      2.82   0.13
Sc     -0.37   0.15
Ti      1.72   0.15
Cr      1.58   0.14
Mn      0.95   0.13
Fe      3.57   0.14
Co      1.80   0.15
Ni      2.61   0.20
V       1.15  -0.20
Zn      1.63  -0.20
Sr     -2.34  -0.20
Y      -0.93  -0.20
Zr     -0.07  -0.20
Ba     -2.41  -0.20
Eu     -1.80  -0.20
Pb     +0.90  -0.20

