configuration: triangle     lattice dimensions: 200 × 200      iterations: 200 + 1000     Atom number: 80000
init: fm       parameters(meV): 1.0      0.0      0.0     
           Round        magnetism
               0              1.0
     Temperature        magnetism   susceptibility    specific heat          time(s)
            0.00         1.000000         0.000000         0.000000         2.672052
            4.00         1.000000         0.000000         0.000000         5.790987
            8.00         1.000000         0.000001         0.000006         5.724773
           12.00         0.999981         0.000291         0.000868         5.782550
           16.00         0.999662         0.003926         0.009277         5.718279
           20.00         0.997990         0.018567         0.033320         5.768496
           24.00         0.993114         0.054098         0.089233         5.702938
           28.00         0.982296         0.117004         0.178412         5.705011
           32.00         0.961470         0.219805         0.297451         5.811458
           33.00         0.953895         0.260280         0.337245         5.845617
           34.00         0.944732         0.306184         0.388563         6.034446
           35.00         0.933915         0.362109         0.432190         5.717503
           36.00         0.921131         0.436785         0.522334         5.689135
           37.00         0.905617         0.544877         0.633705         5.778425
           38.00         0.885879         0.701402         0.708217         5.685744
           39.00         0.861022         0.925217         0.791231         5.784075
           40.00         0.825631         1.499311         1.164565         5.803458
           40.20         0.816936         1.622514         1.012877         5.744899
           40.40         0.808938         1.846840         1.148299         5.763389
           40.60         0.798220         2.004081         1.107535         5.621377
           40.80         0.786898         2.717227         1.317836         5.648478
           41.00         0.764843         4.494080         1.114115         5.731464
           41.20         0.758683         4.177160         1.445770         5.665627
           41.40         0.736633         5.353664         1.391560         5.695536
           41.60         0.705386         7.345785         1.772727         5.691838
           41.80         0.696111         6.463739         1.541349         5.596881
           42.00         0.668013        10.024287         1.446157         5.674883
           42.20         0.625299        18.222589         1.687808         5.600080
           42.40         0.469932        82.427325         2.223826         5.666021
           42.60         0.283141       183.747051         1.348536         5.656412
           42.80         0.190839        59.593811         1.056952         5.581437
           43.00         0.103172        49.778772         1.250913         5.607630
           43.20         0.046702        59.766765         1.715725         5.542597
           43.40         0.001025        31.362762         1.079079         5.597185
           43.60         0.029152        23.520021         1.112103         5.571150
           43.80         0.008067        39.934774         1.285324         5.598554
           44.00        -0.009639        40.131383         1.073959         5.610377
           44.20        -0.022573        37.337462         1.151279         5.612306
           44.40        -0.001978        29.437957         1.025326         5.647566
           44.60         0.010777        21.740253         1.045171         5.600353
           44.80         0.023821        30.881177         1.030123         5.588992
           45.00         0.007077        28.206844         1.047487         5.519970
           45.20         0.020859        34.369780         0.766547         5.705784
           45.40         0.015160        25.711607         1.071439         5.511063
           45.60         0.001851        21.047795         0.763719         5.601135
           45.80         0.000062        16.601876         0.875851         5.557459
           46.00         0.012300        17.371080         0.737585         5.552901
           47.00         0.001523        14.788632         0.629004         5.633223
           48.00         0.000431         9.971864         0.612199         5.499657
           49.00         0.002474         6.987097         0.492015         5.532302
           50.00         0.000816         6.609492         0.453548         5.567008
           51.00        -0.000432         5.931212         0.434258         5.481954
           52.00         0.002692         5.405903         0.402366         5.420438
           53.00         0.000137         4.477969         0.344185         5.563936
           54.00         0.000686         3.528001         0.356994         5.800042
           55.00        -0.000575         3.153483         0.290150         5.723331
