cityname;countrycode;countrycode_iso3
abejorral;CO;COL
abrego;CO;COL
abriaqui;CO;COL
acacias;CO;COL
acandi;CO;COL
acevedo;CO;COL
achi;CO;COL
agrado;CO;COL
agua de dios;CO;COL
aguachica;CO;COL
aguazul;CO;COL
agustin codazzi;CO;COL
aipe;CO;COL
algarrobo;CO;COL
almaguer;CO;COL
alpujarra;CO;COL
altamira;CO;COL
alto baudo;CO;COL
altos del rosario;CO;COL
amaga;CO;COL
amalfi;CO;COL
ambalema;CO;COL
anapoima;CO;COL
ancuya;CO;COL
angelopolis;CO;COL
angostura;CO;COL
anolaima;CO;COL
anori;CO;COL
anserma;CO;COL
ansermanuevo;CO;COL
anzoategui;CO;COL
apia;CO;COL
apulo;CO;COL
aquitania;CO;COL
aracataca;CO;COL
aratoca;CO;COL
arauca;CO;COL
arauquita;CO;COL
arboletes;CO;COL
arcabuco;CO;COL
ariguani;CO;COL
armenia;CO;COL
armero;CO;COL
arroyohondo;CO;COL
astrea;CO;COL
ataco;CO;COL
atrato;CO;COL
ayapel;CO;COL
bagado;CO;COL
bahia solano;CO;COL
bajo baudo;CO;COL
balboa;CO;COL
baranoa;CO;COL
baraya;CO;COL
barichara;CO;COL
barranca de upia;CO;COL
barrancabermeja;CO;COL
barrancas;CO;COL
barranco de loba;CO;COL
barranco minas;CO;COL
barranquilla;CO;COL
becerril;CO;COL
belalcazar;CO;COL
belen de bajira;CO;COL
belen de los andaquies;CO;COL
belen de umbria;CO;COL
belmira;CO;COL
berbeo;CO;COL
beteitiva;CO;COL
bituima;CO;COL
boavita;CO;COL
bochalema;CO;COL
bogota;CO;COL
bojaca;CO;COL
bojaya;CO;COL
bosconia;CO;COL
boyaca;CO;COL
briceno;CO;COL
bucaramanga;CO;COL
bucarasica;CO;COL
buenaventura;CO;COL
buesaco;CO;COL
buga;CO;COL
bugalagrande;CO;COL
busbanza;CO;COL
cabuyaro;CO;COL
cacahual;CO;COL
caceres;CO;COL
cachipay;CO;COL
cachira;CO;COL
cacota;CO;COL
caicedonia;CO;COL
caimito;CO;COL
cajamarca;CO;COL
cajibio;CO;COL
cajica;CO;COL
calamar;CO;COL
calarca;CO;COL
caldas;CO;COL
caldono;CO;COL
cali;CO;COL
calima;CO;COL
caloto;CO;COL
campo de la cruz;CO;COL
campoalegre;CO;COL
campohermoso;CO;COL
canasgordas;CO;COL
cantagallo;CO;COL
caparrapi;CO;COL
capitanejo;CO;COL
caqueza;CO;COL
caracoli;CO;COL
caramanta;CO;COL
carcasi;CO;COL
carepa;CO;COL
carmen de apicala;CO;COL
carmen de carupa;CO;COL
carmen del darien;CO;COL
cartagena;CO;COL
cartagena del chaira;CO;COL
cartago;CO;COL
caruru;CO;COL
casabianca;CO;COL
castilla la nueva;CO;COL
caucasia;CO;COL
cepita;CO;COL
cerete;CO;COL
cerinza;CO;COL
cerrito;CO;COL
cerro san antonio;CO;COL
certegui;CO;COL
chachagui;CO;COL
chaguani;CO;COL
chalan;CO;COL
chameza;CO;COL
chaparral;CO;COL
charala;CO;COL
charta;CO;COL
chia;CO;COL
chigorodo;CO;COL
chima;CO;COL
chimichagua;CO;COL
chinacota;CO;COL
chinavita;CO;COL
chinchina;CO;COL
chinu;CO;COL
chipaque;CO;COL
chipata;CO;COL
chiquinquira;CO;COL
chiquiza;CO;COL
chiriguana;CO;COL
chiscas;CO;COL
chita;CO;COL
chitaga;CO;COL
chitaraque;CO;COL
chivata;CO;COL
chivolo;CO;COL
chivor;CO;COL
choachi;CO;COL
choconta;CO;COL
cicuco;CO;COL
cienaga de oro;CO;COL
cienega;CO;COL
cimitarra;CO;COL
circasia;CO;COL
cisneros;CO;COL
cocorna;CO;COL
coello;CO;COL
cogua;CO;COL
coloso;CO;COL
combita;CO;COL
concordia;CO;COL
condoto;CO;COL
confines;CO;COL
consaca;CO;COL
contadero;CO;COL
coper;CO;COL
coromoro;CO;COL
corozal;CO;COL
cota;CO;COL
covarachia;CO;COL
covenas;CO;COL
coyaima;CO;COL
cravo norte;CO;COL
cuaspud;CO;COL
