countrycode;countrycode_iso3;countryname_en;countryname_es;countryname_out_en;countryname_out_es;denonym_en;denonym_es
CO;COL;colombia;colombia;Colombia;Colombia;colombian;colombian
EC;ECU;ecuador;ecuador;Ecuador;Ecuador;ecuadorian;ecuatorian
PA;PAN;panama;panama;Panama;Panamá;panamanian;panameñ
VE;VEN;venezuela;venezuela;Venezuela;Venezuela;venezuelan;venezolan
