configuration: square       lattice dimensions: 200 × 200      iterations: 200 + 1000     Atom number: 80000
init: fm       parameters(meV): 1.0      0.0      0.0     
           Round        magnetism
               0              1.0
     Temperature        magnetism   susceptibility    specific heat          time(s)
            0.00         1.000000         0.000000         0.000000         1.867831
            1.00         1.000000         0.000000         0.000000         4.046605
            2.00         1.000000         0.000000         0.000000         4.139963
            3.00         1.000000         0.000000         0.000000         4.105970
            4.00         1.000000         0.000000         0.000000         4.069040
            5.00         1.000000         0.000000         0.000000         4.090198
            6.00         1.000000         0.000005         0.000059         4.101051
            7.00         0.999997         0.000043         0.000457         4.075706
            8.00         0.999981         0.000223         0.001951         4.069642
            9.00         0.999933         0.000674         0.005017         4.064084
           10.00         0.999808         0.001755         0.011766         4.125140
           11.00         0.999547         0.003943         0.025352         4.106146
           12.00         0.999054         0.007457         0.045524         4.087851
           13.00         0.998213         0.012688         0.072597         4.038400
           14.00         0.996898         0.021007         0.113284         4.190477
           15.00         0.994973         0.030993         0.147628         4.204475
           16.00         0.992197         0.043939         0.218174         4.085727
           17.00         0.988415         0.064601         0.291832         4.149405
           18.00         0.983256         0.083421         0.371461         4.094800
           19.00         0.976423         0.114078         0.487635         4.140858
           20.00         0.967381         0.150906         0.610447         4.111231
           21.00         0.955199         0.205175         0.834309         4.149908
           22.00         0.939172         0.269977         0.989968         4.113482
           23.00         0.917078         0.405346         1.393435         4.109446
           24.00         0.884010         0.634618         1.657805         4.233467
           25.00         0.833183         1.150934         2.002370         4.225391
           26.00         0.723886         3.534939         2.332590         4.160406
           27.00         0.202010       143.149452         3.490066         4.169745
           28.00         0.003560        30.774310         2.094955         4.176085
           29.00         0.001614        10.647591         1.646413         4.165161
           30.00        -0.002947         7.235540         1.233151         4.158706
           31.00         0.001792         5.763528         1.097662         4.175031
           32.00        -0.003211         4.237416         0.816023         4.183548
           33.00         0.000337         3.254752         0.769647         4.186126
           34.00         0.000023         2.732133         0.733072         4.146970
           35.00         0.000816         2.429738         0.575152         4.210285
