Pick #,Jimmy Johnson,Rich Hill,Fitzgerald/Spielberger,Kevin Meers,PFF,Michael Lopez,Chase Stuart
52,380,109,998,144.2,0.368,54.5,9.4
53,370,106,988,142.8,0.363,53.3,9.3
54,360,104,979,141.5,0.357,52.2,9.2
55,350,101,969,140.2,0.352,51.1,9.1
56,340,98,960,138.9,0.347,50,9
57,330,96,951,137.6,0.342,49,8.9
58,320,93,942,136.3,0.337,48,8.7
59,310,91,934,135.1,0.332,47,8.6
60,300,88,925,133.9,0.327,46.1,8.5
61,292,86,917,132.7,0.322,45.3,8.4
62,284,84,909,131.4,0.316,44.4,8.3
63,276,82,900,130.3,0.311,43.6,8.2
64,270,80,892,129.1,0.306,42.8,8.1
65,265,78,885,128,0.301,42,8
66,260,76,877,126.9,0.296,41.2,7.9
67,255,75,869,125.8,0.292,40.5,7.8
68,250,73,862,124.7,0.287,39.8,7.7
69,245,71,854,123.6,0.283,39.1,7.6
70,240,70,847,122.5,0.279,38.5,7.5
71,235,68,840,121.5,0.275,37.8,7.5
72,230,67,833,120.4,0.271,37.2,7.4
73,225,65,826,119.4,0.267,36.7,7.3
74,220,64,819,118.4,0.264,36.1,7.2
75,215,63,812,117.4,0.26,35.5,7.1
76,210,61,805,116.4,0.257,35,7
77,205,60,799,115.4,0.254,34.5,6.9
78,200,59,792,114.4,0.251,34.1,6.9
79,195,57,786,113.5,0.248,33.6,6.8
80,190,56,779,112.5,0.246,33.2,6.7
81,185,55,773,111.6,0.243,32.8,6.6
82,180,54,767,110.7,0.24,32.3,6.5
83,175,52,761,109.7,0.237,31.9,6.5
84,170,51,755,108.8,0.234,31.5,6.4
85,165,50,749,107.9,0.231,31.1,6.3
86,160,49,743,107.1,0.229,30.8,6.2
87,155,48,737,106.2,0.226,30.4,6.2
88,150,47,731,105.3,0.223,30,6.1
89,145,46,725,104.4,0.221,29.7,6
90,140,45,720,103.6,0.219,29.4,5.9
91,136,44,714,102.7,0.217,29,5.9
92,132,43,709,101.9,0.214,28.8,5.8
93,128,42,703,101.1,0.212,28.4,5.7
94,124,41,698,100.3,0.21,28.1,5.7
95,120,40,692,99.4,0.207,27.9,5.6
96,116,39,687,98.6,0.205,27.6,5.5
97,112,38,682,97.8,0.203,27.3,5.5
98,108,38,676,97.1,0.201,27,5.4
99,104,37,671,96.3,0.199,26.8,5.3
100,100,37,666,95.5,0.196,26.6,5.3
101,96,36,661,94.7,0.194,26.3,5.2
102,92,35,656,94,0.192,26.1,5.1
103,88,35,651,93.2,0.19,25.9,5.1
104,86,34,646,92.5,0.187,25.7,5
105,84,34,642,91.7,0.185,25.5,5
106,82,33,637,91,0.183,25.4,4.9
107,80,33,632,90.3,0.181,25.2,4.8
108,78,32,627,89.5,0.179,25,4.8
109,76,32,623,88.8,0.177,24.9,4.7
110,74,31,618,88.1,0.174,24.8,4.7
111,72,31,613,87.4,0.172,24.5,4.6
112,70,30,609,86.7,0.17,24.5,4.6
113,68,29,604,86,0.168,24.3,4.5
114,66,29,600,85.3,0.166,24.2,4.4
115,64,28,595,84.6,0.163,24,4.4
116,62,28,591,84,0.161,24,4.3
117,60,27,587,83.3,0.16,23.8,4.3
118,58,27,582,82.6,0.158,23.7,4.2
119,56,26,578,82,0.157,23.6,4.2
120,54,26,574,81.3,0.155,23.5,4.1
121,52,25,570,80.7,0.154,23.3,4.1
122,50,25,565,80,0.153,23.2,4
123,49,24,561,79.4,0.151,23,4
124,48,24,557,78.7,0.15,23,3.9
125,47,23,553,78.1,0.149,22.8,3.9
126,46,23,549,77.5,0.148,22.6,3.8
127,45,22,545,76.9,0.146,22.5,3.8
128,44,22,541,76.2,0.145,22.4,3.7
129,43,21,537,75.6,0.144,22.2,3.7
130,42,21,533,75,0.143,22,3.6
131,41,20,529,74.4,0.142,21.9,3.6
132,40,20,526,73.8,0.141,21.8,3.5
133,39.5,19,522,73.2,0.139,21.6,3.5
134,39,19,518,72.6,0.138,21.5,3.4
135,38.5,18,514,72,0.137,21.3,3.4
136,38,18,510,71.5,0.136,21.1,3.3
137,37.5,18,507,70.9,0.135,21,3.3
138,37,17,503,70.3,0.134,20.9,3.2
139,36.5,17,499,69.7,0.133,20.6,3.2
140,36,17,496,69.2,0.132,20.4,3.1
141,35.5,16,492,68.6,0.13,20.3,3.1
142,35,16,489,68,0.129,20.1,3
143,34.5,15,485,67.5,0.128,19.9,3
144,34,15,481,66.9,0.127,19.7,3
145,33,14,478,66.4,0.126,19.5,2.9
146,31.4,14,474,65.8,0.125,19.2,2.9
147,31,14,471,65.3,0.124,19.1,2.8
148,30.6,13,468,64.8,0.122,18.9,2.8
149,30.2,13,464,64.2,0.121,18.6,2.7
150,29.8,13,461,63.7,0.12,18.4,2.7
151,29.4,12,457,63.2,0.119,18.1,2.7
152,29,12,454,62.6,0.118,17.9,2.6
153,28.6,12,451,62.1,0.117,17.6,2.6
154,28.2,12,447,61.6,0.116,17.4,2.5
155,27.8,11,444,61.1,0.114,17.1,2.5
156,27.4,11,441,60.6,0.113,16.9,2.4
157,27,11,438,60,0.112,16.6,2.4
158,26.6,11,434,59.5,0.111,16.4,2.4
159,26.2,10,431,59,0.11,16.1,2.3
160,25.8,10,428,58.5,0.109,15.8,2.3
161,25.4,10,425,58,0.108,15.6,2.2
162,25,10,422,57.5,0.107,15.3,2.2
163,24.6,9,419,57.1,0.106,15,2.2
164,24.2,9,416,56.6,0.104,14.8,2.1
165,23.8,9,412,56.1,0.103,14.6,2.1
166,23.4,9,409,55.6,0.102,14.3,2
167,23,9,406,55.1,0.101,14,2
168,22.6,8,403,54.6,0.1,13.8,2
169,22.2,8,400,54.2,0.099,13.6,1.9
170,21.8,8,397,53.7,0.098,13.3,1.9
171,21.4,8,394,53.2,0.097,13.1,1.9
172,21,8,391,52.7,0.096,12.9,1.8
173,20.6,8,388,52.3,0.095,12.7,1.8
174,20.2,7,386,51.8,0.094,12.5,1.7
175,19.8,7,383,51.4,0.092,12.2,1.7
176,19.4,7,380,50.9,0.091,12.1,1.7
177,19,7,377,50.4,0.09,11.9,1.6
178,18.6,7,374,50,0.089,11.7,1.6
179,18.2,7,371,49.5,0.088,11.5,1.6
180,17.8,7,368,49.1,0.087,11.3,1.5
181,17.4,7,366,48.6,0.086,11.2,1.5
182,17,7,363,48.2,0.085,11,1.5
183,16.6,7,360,47.8,0.084,10.8,1.4
184,16.2,6,357,47.3,0.083,10.8,1.4
185,15.8,6,354,46.9,0.082,10.6,1.4
186,15.4,6,352,46.5,0.081,10.5,1.3
187,15,6,349,46,0.08,10.3,1.3
188,14.6,6,346,45.6,0.079,10.2,1.3
189,14.2,6,344,45.2,0.078,10.1,1.2
190,13.8,6,341,44.7,0.077,9.9,1.2
191,13.4,6,338,44.3,0.077,9.9,1.2
192,13,6,336,43.9,0.076,9.8,1.1
193,12.6,6,333,43.5,0.075,9.6,1.1
194,12.2,5,330,43.1,0.074,9.5,1.1
195,11.8,5,328,42.6,0.073,9.5,1
196,11.4,5,325,42.2,0.072,9.3,1
197,11,5,323,41.8,0.071,9.2,1
198,10.6,5,320,41.4,0.07,9.2,0.9
199,10.2,5,318,41,0.069,9.1,0.9
200,9.8,5,315,40.6,0.068,9,0.9
201,9.4,5,312,40.2,0.068,8.9,0.8
202,9,5,310,39.8,0.067,8.8,0.8
203,8.6,5,307,39.4,0.066,8.8,0.8
204,8.2,4,305,39,0.065,8.8,0.7
205,7.8,4,302,38.6,0.065,8.6,0.7
206,7.4,4,300,38.2,0.064,8.6,0.7
207,7,4,298,37.8,0.063,8.5,0.6
208,6.6,4,295,37.4,0.063,8.4,0.6
209,6.2,4,293,37,0.062,8.4,0.6
210,5.8,4,290,36.6,0.061,8.3,0.6
211,5.4,4,288,36.3,0.061,8.3,0.5
212,5,4,285,35.9,0.06,8.3,0.5
213,4.6,4,283,35.5,0.06,8.2,0.5
214,4.2,3,281,35.1,0.06,8.2,0.4
215,3.8,3,278,43.5,0.059,8.2,0.4
216,3.4,3,276,43.1,0.059,8.1,0.4
217,3,3,274,42.6,0.058,8.1,0.3
218,2.3,3,271,42.2,0.058,8,0.3
219,2,3,269,41.8,0.058,8,0.3
220,1.7,3,267,41.4,0.057,8,0.3
221,1.4,3,264,41,0.057,8,0.2
222,1.7,3,262,40.6,0.056,8,0.2
223,1.4,3,260,40.2,0.056,8,0.2
224,1.1,3,258,39.8,0.056,8,0.1
225,1,3,255,40,0.055,7.9,0.1
226,1,3,253,40,0.055,7.9,0.1
227,1,3,251,40,0.054,7.9,0.1
228,1,3,249,40,0.054,7.9,0.1
229,1,3,246,40,0.054,7.9,0.1
230,1,2,244,40,0.053,7.9,0.1
231,1,2,242,40,0.053,7.9,0.1
232,1,2,240,40,0.052,7.9,0.1
233,1,2,238,40,0.052,7.9,0.1
234,1,2,235,40,0.052,7.9,0.1
235,1,2,233,40,0.051,7.9,0.1
236,1,2,231,40,0.051,7.9,0.1
237,1,2,229,40,0.051,7.9,0.1
238,1,2,227,40,0.05,7.9,0.1
239,1,2,225,40,0.05,7.9,0.1
240,1,2,223,40,0.05,7.9,0.1
241,1,2,220,40,0.05,7.9,0.1
242,1,2,218,40,0.05,7.9,0.1
243,1,2,216,40,0.049,7.9,0.1
244,1,2,214,40,0.049,7.9,0.1
245,1,2,212,40,0.049,7.9,0.1
246,1,2,210,40,0.049,7.9,0.1
247,1,2,208,40,0.049,7.9,0.1
248,1,2,206,40,0.049,7.9,0.1
249,1,2,204,40,0.048,7.9,0.1
250,1,2,202,40,0.048,7.9,0.1
251,1,2,200,40,0.048,7.9,0.1
252,1,1,198,40,0.048,7.9,0.1
253,1,1,196,40,0.048,7.9,0.1
254,1,1,194,40,0.048,7.9,0.1
255,1,1,192,40,0.047,7.9,0.1
256,1,1,190,40,0.047,7.9,0.1
257,1,1,188,40,0.047,7.9,0.1
258,1,1,186,40,0.047,7.9,0.1
259,1,1,184,40,0.047,7.9,0.1
260,1,1,182,40,0.047,7.9,0.1
261,1,1,180,40,0.046,7.9,0.1
262,1,1,178,40,0.046,7.9,0.1
263,1,1,176,40,0.046,7.9,0.1
264,1,1,174,40,0.046,7.9,0.1
265,1,1,172,40,0.046,7.9,0.1
266,1,1,170,40,0.045,7.9,0.1
267,1,1,168,40,0.045,7.9,0.1
268,1,1,166,40,0.045,7.9,0.1
269,1,1,164,40,0.045,7.9,0.1
270,1,1,162,40,0.045,7.9,0.1
